ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
10897358,JA208654,04/01/2017 02:29:00 AM,042XX N MILWAUKEE AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,SMALL RETAIL STORE,false,false,1624,016,45,15,14,1142459,1927599,2017,04/08/2017 03:49:53 PM,41.957388058,-87.751670875,"(41.957388058, -87.751670875)"
10897412,JA208711,04/01/2017 02:30:00 AM,032XX W DIVERSEY AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,1412,014,35,22,14,1154389,1918441,2017,04/08/2017 03:49:53 PM,41.932027273,-87.70805773,"(41.932027273, -87.70805773)"
10897129,JA208250,04/01/2017 02:30:00 AM,007XX S MICHIGAN AVE,0890,THEFT,FROM BUILDING,HOTEL/MOTEL,false,false,0123,001,2,32,06,1177389,1897003,2017,04/08/2017 03:49:53 PM,41.872709056,-87.624187857,"(41.872709056, -87.624187857)"
10897078,JA208136,04/01/2017 02:30:00 AM,055XX N LINCOLN AVE,0460,BATTERY,SIMPLE,BAR OR TAVERN,true,false,2011,020,40,4,08B,1158380,1936583,2017,04/08/2017 03:49:53 PM,41.981729156,-87.692893082,"(41.981729156, -87.692893082)"
10897076,JA208163,04/01/2017 02:30:00 AM,130XX S DR MARTIN LUTHER KING JR DR,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,0533,005,9,54,08B,1180907,1818839,2017,04/08/2017 03:49:53 PM,41.658138493,-87.613672862,"(41.658138493, -87.613672862)"
10897060,JA208175,04/01/2017 02:30:00 AM,022XX N LINCOLN AVE,0890,THEFT,FROM BUILDING,BAR OR TAVERN,false,false,1812,018,43,7,06,1171576,1915192,2017,04/08/2017 03:49:53 PM,41.922750548,-87.644994062,"(41.922750548, -87.644994062)"
10897781,JA208145,04/01/2017 02:35:00 AM,011XX W WELLINGTON AVE,1563,SEX OFFENSE,CRIMINAL SEXUAL ABUSE,APARTMENT,false,false,1933,019,44,6,17,1168013,1920069,2017,04/08/2017 03:49:53 PM,41.936211021,-87.657944452,"(41.936211021, -87.657944452)"
10897074,JA208166,04/01/2017 02:37:00 AM,0000X E 110TH ST,4625,OTHER OFFENSE,PAROLE VIOLATION,STREET,true,false,0513,005,9,49,26,1178668,1832040,2017,04/08/2017 03:49:53 PM,41.694415042,-87.621466723,"(41.694415042, -87.621466723)"
10897053,JA208161,04/01/2017 02:40:00 AM,025XX W WARREN BLVD,031A,ROBBERY,ARMED: HANDGUN,STREET,false,false,1222,012,2,28,03,1159615,1900271,2017,04/08/2017 03:49:53 PM,41.882061165,-87.689354173,"(41.882061165, -87.689354173)"
10897037,JA208156,04/01/2017 02:53:00 AM,028XX N CLARK ST,0860,THEFT,RETAIL THEFT,GROCERY FOOD STORE,false,false,1934,019,44,6,06,1171435,1919085,2017,04/08/2017 03:49:53 PM,41.933436218,-87.645397373,"(41.933436218, -87.645397373)"
10898366,JA209965,04/01/2017 03:00:00 AM,0000X W CHICAGO AVE,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,ATM (AUTOMATIC TELLER MACHINE),false,false,1832,018,42,8,11,1175592,1905711,2017,04/08/2017 03:49:53 PM,41.896644852,-87.630523558,"(41.896644852, -87.630523558)"
